Date,week_day,hour,state,road_id,km,city,cause_of_accident,type_of_accident,victims_condition,weather_timestamp,road_direction,wheather_condition,road_type,road_delineation,people,deaths,slightly_injured,severely_injured,uninjured,ignored,total_injured,vehicles_involved,latitude,longitude,regional,police_station
08/26/2023,saturday,1:30:00 AM,PE,101,"51,5",PAULISTA,Animals on the road,Animal collision,Without victims,Night,Decreasing,Clear sky,Multiple,Straight,1,0,0,0,0,1,0,1,-7.923588,-34.89607,SPRF-PE,DEL01-PE
08/26/2023,saturday,3:00:00 AM,RS,290,12,OSORIO,Driver was sleeping,Run-off-road,Without victims,Night,Decreasing,Clear sky,Double,Straight,1,0,0,0,1,0,0,1,-29.88252,-50.39056,SPRF-RS,DEL03-RS
08/25/2023,friday,11:50:00 PM,PR,369,391,MAMBORE,Acessing the road without seeing the presence of other vehicles,Broadside collision,With dead victims,Night,Decreasing,Clear sky,Simple,Not Reported,5,1,2,0,1,1,2,2,-24.2808,-52.5396,SPRF-PR,DEL04-PR
08/26/2023,saturday,3:10:00 AM,MA,316,"551,7",CAXIAS,Alcohol and/or drug ingestion by the pedestrian,Pedestrian collision,With dead victims,Night,Decreasing,Clear sky,Simple,Straight,2,1,0,0,0,1,0,1,-4.886426,-43.35582,SPRF-MA,DEL03-MA
08/26/2023,saturday,4:26:00 AM,GO,70,314,JUSSARA,Driver's lack of reaction,Unusual events,Without victims,Night,Increasing,Rainy,Double,Authorized U-turn,1,0,0,0,0,1,0,1,-15.87305,-50.85204,SPRF-GO,DEL04-GO
08/25/2023,friday,10:50:00 PM,PI,343,256,CAMPO MAIOR,Alcohol ingestion by the driver,Overturn,With dead victims,Night,Decreasing,Clear sky,Simple,Bridge,1,1,0,0,0,0,0,1,-4.779925,-42.11568,SPRF-PI,DEL01-PI
08/26/2023,saturday,6:30:00 AM,PR,369,156,LONDRINA,Lane change maneuver,Side collision (same direction),With injured victims,Sunrise,Increasing,Drizzle,Double,Straight,2,0,1,0,1,0,1,2,-23.29419,-51.21166,SPRF-PR,DEL07-PR
08/26/2023,saturday,5:50:00 AM,SC,101,395,MARACAJA,Driver was sleeping,Rear-end collision,With injured victims,Day,Increasing,Clear sky,Multiple,Not Reported,2,0,0,1,1,0,1,2,-28.81906,-49.39678,SPRF-SC,DEL02-SC
08/26/2023,saturday,6:10:00 AM,MG,381,"396,9",BOM JESUS DO AMPARO,Driver's lack of reaction,Rear-end collision,With injured victims,Day,Decreasing,Clear sky,Double,Curve,3,0,3,0,0,0,3,2,-19.76273,-43.45989,SPRF-MG,DEL01-MG
08/26/2023,saturday,5:45:00 AM,RS,158,315,ITAARA,Driver was sleeping,Collision with object,Without victims,Sunrise,Increasing,Clear sky,Multiple,Not Reported,2,0,0,0,1,1,0,1,-29.65006,-53.75696,SPRF-RS,DEL09-RS
08/26/2023,saturday,6:15:00 AM,RJ,116,133,MAGE,Rain,Overturn,With injured victims,Day,Decreasing,Rainy,Double,Straight,1,0,1,0,0,0,1,1,-22.65418,-43.14383,SPRF-RJ,DEL02-RJ
08/26/2023,saturday,6:25:00 AM,PI,343,341,TERESINA,Driver's lack of reaction,Collision with object,With injured victims,Day,Decreasing,Clear sky,Simple,Straight,1,0,0,1,0,0,1,1,-5.077812,-42.74426,SPRF-PI,DEL01-PI
08/26/2023,saturday,5:15:00 AM,PR,277,"726,5",FOZ DO IGUACU,Alcohol ingestion by the driver,Collision with object,Without victims,Night,Decreasing,Clear sky,Double,Curve,1,0,0,0,1,0,0,1,-25.51055,-54.55989,SPRF-PR,DEL05-PR
08/26/2023,saturday,6:30:00 AM,SP,116,"72,2",APARECIDA,Rain,Run-off-road,With injured victims,Sunrise,Decreasing,Rainy,Double,Not Reported,1,0,1,0,0,0,1,1,-22.86354,-45.23746,SPRF-SP,DEL08-SP
08/26/2023,saturday,12:05:00 AM,RJ,116,69,TERESOPOLIS,Rain,Overturn,With injured victims,Night,Increasing,Drizzle,Simple,Straight,1,0,1,0,0,0,1,1,-22.31064,-42.93779,SPRF-RJ,DEL04-RJ
08/25/2023,friday,9:00:00 AM,RS,470,227,GARIBALDI,Pedestrian was walking in the road,Pedestrian collision,With injured victims,Night,Increasing,Clear sky,Simple,Straight,2,0,1,0,1,0,1,1,-29.21658,-51.51723,SPRF-RS,DEL06-RS
